English,Turkish
wet,ıslak
nah,Hayır
amount,miktar
members,üyeler
kate,Kate
manage,üstesinden gelmek
safety,Emniyet
returned,iade
harder,Daha güçlü
fbi,FBI
block,engellemek
showing,gösteriş
fancy,süslü
chef,şef
contract,sözleşme
dig,kazmak
chest,göğüs
good-bye,Güle güle
drinks,içecekler
dave,Dave
buried,gömülü
brian,Brian
trade,ticaret
journey,seyahat
stomach,karın
changes,değişim
details,detaylar
thoughts,düşünceler
divorce,boşanmak
funeral,cenaze
maria,Maria
football,Futbol
reality,gerçeklik
theory,teori
gosh,Allah Allah
ruined,harap
gate,geçit
william,William
spread,yayılmış
outta,çıkıntı yapmak
japanese,Japonca
sudden,birden
coat,kaplamak
sooner,Er
cheese,peynir
larry,Larry
spring,bahar
page,sayfa
ears,kulaklar
simon,Simon
castle,kale
hidden,gizlenmiş
storm,fırtına
cos,cos
personally,Şahsen
artist,sanatçı
hill,Tepe
exciting,heyecan verici
permission,izin
jerry,Jerry
expensive,masraflı
tickets,biletler
forest,orman
barely,zar zor
eggs,yumurtalar
goin,içeri gir
regret,pişmanlık
lesson,ders
lover,sevgili
bread,ekmek
andy,Andy
subject,ders
legal,yasal
growing,büyüyen
ill,hasta
jason,Jason
mood,mod
owner,mal sahibi
caused,neden oldu
beeping,bip sesi çıkaran
points,puan
dating,flört
loss,kayıp
secretary,Sekreter
revenge,intikam
santa,Noel Baba
likely,büyük ihtimalle
rent,kiraya vermek
connection,bağlantı
assistant,asistan
reasons,sebepler
yelling,bağırmak
painting,tablo
trees,ağaçlar
doctors,doktor
rush,acele etmek
foreign,Dış
rough,kaba 
murderer,katil
century,yüzyıl
nights,geceler
pair,çift
runs,koşar
pocket,cep
farm,Çiftlik
matt,mat
bike,bisiklet
obvious,bariz
ate,yemek yedi
grew,büyümüş
professional,profesyonel
tim,tim
goodness,iyilik
parts,parça
alan,Alan
university,Üniversite
square,Meydan
grandfather,Büyük baba
europe,Avrupa
genius,dahi
cases,dava
ruin,harabe
winter,kış mevsimi
tongue,dil
memories,hatıralar
da,DA
buying,alış
cancer,kanser
clock,saat
ocean,okyanus
dna,DNA
liar,yalancı
tour,tur
thief,hırsız
bleep,bip
lisa,Lisa
rights,Haklar
including,dahil olmak üzere
competition,yarışma
smith,Smith
planned,planlanmış
emily,Emily
boring,sıkıcı
victims,kurban
mentioned,adı geçen
bones,kemikler
plant,bitki
bless,kutsamak
warning,uyarı
knocking,çalma
re,tekrar
crash,kaza
bedroom,yatak odası
lower,daha düşük
silver,gümüş rengi
groaning,inleme
madame,Madam
defense,savunma
results,Sonuçlar
toilet,tuvalet
event,Etkinlik
complicated,karmaşık
shape,şekil
priest,rahip
royal,Kraliyet
cheap,ucuz
romantic,romantik
downstairs,alt kat
invite,Davet et
fortune,talih
tears,göz yaşları
avoid,önlemek
reached,ulaşmış
higher,daha yüksek
familiar,tanıdık
telephone,telefon
burning,yanma
filled,dolu
kelly,Kelly
alice,Alice
airport,havalimanı
jobs,Meslekler
grown,büyümüş
walter,Walter
rachel,Rachel
giant,dev
insurance,sigorta
woods,orman
n,n
scare,Korkmak
pleased,memnun
period,dönem
political,siyasi
player,oyuncu
stops,duraklar
secrets,sırlar
laura,Laura
repeat,tekrar et
photos,fotoğraflar
finds,bulurlar
statement,ifade
suck,emmek
younger,daha genç
china,Çin
humans,insanlar
delicious,lezzetli
particular,belirli
proper,düzgün
rome,Roma
belongs,aittir
attacked,saldırıya uğramış
bath,banyo
hired,işe alınmış
site,alan
knowledge,bilgi
b,b
led,neden olmuş
guests,Misafirler
celebrate,kutlamak
map,harita
horn,Boynuz
eventually,Sonuçta
pity,yazık
powers,güçler
ashamed,utanmış
assume,farz etmek
glasses,Gözlük
rise,yükselmek
fixed,sabit
request,rica etmek
officers,memurlar
pounds,pound
data,veri
carefully,dikkatlice
per,başına
depends,bağlı olmak
jury,jüri
waited,bekledi
positive,pozitif
attorney,avukat
direction,yön
families,aileler
clock,saat
doin,iş yapmak
forces,kuvvetler
location,yer
walls,duvarlar
useless,Faydasız
grant,hibe
saving,tasarruf
speaks,konuşuyor
fought,kavga etti
meal,yemek
deliver,teslim etmek
answers,Yanıtlar
changing,değiştirme
temple,tapınak şakak .. mabet
scary,korkutucu
millions,milyonlarca
offered,teklif edilen
regular,düzenli
carrying,taşıma
official,resmi
jacket,ceket
switch,değiştirmek
grave,mezar
chase,kovalamak
role,rol
odd,garip
sexy,seksi
faces,yüzler
becomes,hale gelmek
closes,kapanır
badly,kötü
tall,uzun boylu
confused,Şaşkın
affair,mesele
television,televizyon
shock,şok
raised,kabarık
panting,nefes nefese
pizza,Pizza
image,imaj
clears,temizlik
golden,altın
patients,hastalar
watched,izlemiş
committed,bağlılık
sexual,cinsel
suffer,acı çekmek
arthur,Arthur
wherever,her nerede
plate,plaka
appear,belli olmak
chocolate,çikolata
clever,akıllı
hm,HM
mercy,merhamet
shots,çekim
lucy,Lucy
dealing,anlaşma
trap,tuzak
charges,suçlama
phil,Fil
bang,patlama
poison,zehir
butt,çan
drove,sürdü
yourselves,kendiniz
headed,başlı
babies,bebekler
yellow,sarı
soup,çorba
mystery,gizem
picking,toplama
sat,doygunluk
wound,yara
traffic,trafik
courage,cesaret
hunt,avlanmak
indian,Hintli
rat,fare
terms,şartlar
italian,İtalyan
emma,Emma
checking,kontrol etme
disease,hastalık
managed,yönetilen
winner,kazanan
council,konsey
appointment,randevu
monday,pazartesi
crack,çatırtı
threat,tehdit
jenny,Jenny
physical,fiziksel
nation,ulus
source,kaynak
chose,seçkin
healthy,sağlıklı
carl,carl
victory,zafer
rick,Rick
stood,durdu
kicked,tekme atmış
annie,Annie
disgusting,iğrenç
palace,Saray
below,altında
shopping,alışveriş yapmak
neighborhood,komşu
march,Mart
lips,dudak
midnight,gece yarısı
piss,işemek
advantage,avantaj
pure,saf
india,Hindistan
aside,bir kenara
jerk,sarsmak
mail,posta
dawn,şafak
effect,Efekt
spell,hecelemek
freak,çatlak
wood,Odun
screwed,berbat
enemies,düşman
gary,Gary
awake,uyanmak
chuckling,kıkırdayan
vacation,tatil
violence,şiddet
leo,leo
grandmother,Nene
modern,modern
luke,Luke
firm,firma
prime,önemli
heh,heh
touched,dokunaklı
talent,yetenek
whore,fahişe
piano,piyano
license,lisans
cooking,yemek pişirme
honour,onur
concern,ilgilendirmek
moves,hareketler
available,mevcut
factory,fabrika
gods,tanrılar
value,değer
central,merkezi
union,Birlik
mirror,ayna
studio,stüdyo
media,medya
taxi,taksi
dies,ölür
iron,ütü
hearts,kalp
desire,arzu
rob,soymak
claire,Claire
fred,fred
songs,şarkılar
washington,Washington
monkey,maymun
pride,gurur
pills,haplar
miracle,mucize
swim,yüzmek
burned,yanmış
smells,koku
joking,şaka
christian,Hıristiyan
bleeding,kanama
hook,kanca
beating,dayak
protection,koruma
treatment,tedavi
ear,kulak
carter,carter
metal,metal
disappear,kaybolmak
grateful,minnettar
extremely,aşırı boyutta
treasure,hazine
rescue,kurtarmak
capable,yetenekli
passing,geçen
chatter,çenek
result,sonuç
suffering,cefa
sisters,kız kardeşler
laid,yataklı
governor,Vali
guards,muhafızlar
louis,Louis
text,metin
literally,kelimenin tam anlamıyla
remove,kaldırmak
becoming,bulma
performance,verim
stronger,Daha güçlü
rate,oran
deeply,derinlemesine
scream,çığlık
desert,çöl
vehicle,araç
illegal,yasadışı
pulling,çeken
throwing,atma
josh,josh
unbelievable,Inanılmaz
ted,Ted
zero,sıfır
dean,Dekan
curious,Meraklı
sean,Sean
candy,Şeker
bone,kemik
tied,bağlı
edge,kenar
load,yük
susan,susan
ahh,Ahh
mountains,dağlar
boom,Boom
former,önceki
holiday,tatil
riding,binme
scoffs,çırpma
hundreds,yüzlerce
motherfucker,orospu çocuğu
sue,Dava açmak
bags,çantalar
stealing,çalma
appears,görünmek
arrive,varmak
remains,kalıntılar
decent,terbiyeli
issues,konular
tip,İpucu
fail,başarısız
bride,gelin
pissed,sinirli
penny,kuruş
claim,iddia
friendship,dostluk
desperate,çaresiz
flower,çiçek
dramatic,dramatik
refuse,reddetmek
solve,çözmek
theme,tema
loving,sevgi dolu
properly,uygun şekilde
dragon,Ejderha
mostly,çoğunlukla
chuck,palavra
directly,direkt olarak
surface,yüzey
FALSE,YANLIŞ
cast,döküm
junior,genç
hunting,avcılık
silent,sessiz
thou,sen
egg,Yumurta
germany,Almanya
punch,yumruk
africa,Afrika
woke,uyandı
intelligence,zeka
borrow,borç almak
winning,kazanan
falls,düşme
popular,popüler
escaped,kaçtı
witch,cadı
convinced,ikna edilmiş
warn,uyarmak
announcer,spiker
champagne,Şampanya
dust,toz
kyle,Kyle
someday,bir gün
fallen,düşmüş
stranger,yabancı
presence,mevcudiyet
tear,göz yaşı
st.,st.
internet,internet
monsieur,mösyalı
therefore,öyleyse
technology,teknoloji
tires,lastikler
toast,kızarmış ekmek
wise,bilge
clark,Clark
americans,Amerikalılar
notes,notalar
smoking,sigara içmek
hank,çile
ls,LS
april,Nisan
wolf,Kurt
precious,değerli
rooms,Odalar
coast,sahil
treated,işlem görmüş
material,malzeme
released,piyasaya sürülmüş
uniform,üniforma
hated,nefret
considered,düşünülen
rice,pilav
exchange,takas etmek
steps,adım
blake,Blake
convince,ikna etmek
beast,canavar
cow,inek
files,Dosyalar
signs,işaretler
drag,sürüklemek
cab,taksi
hung,asılı
carried,taşınan
ordinary,sıradan
successful,başarılı
eve,havva
mistakes,hatalar
houses,evler
chattering,geveze
brains,beyin
japan,Japonya
creature,yaratık
fourth,dördüncü
separate,ayırmak
cleaning,temizlik
california,Kaliforniya
lf,LF
ll,LL
shift,vardiya
elizabeth,Elizabeth
chicago,Chicago
exact,bire bir aynı
karen,karen
goal,hedef
expert,uzman
served,servis edilen
direct,yönlendirmek
score,Puan
row,sıra
marks,iz
twenty,yirmi
receive,teslim almak
series,dizi
section,bölüm
pilot,pilot
jackson,Jackson
darkness,karanlık
thy,senin
sale,satış
destiny,alın yazısı
cure,Çare
spoken,konuşulmuş
armed,silahlı
rare,nadir
helen,Helen
grade,seviye
juice,Meyve suyu
wide,geniş
tower,kule
solution,çözüm
schedule,takvim
explosion,patlama
wheel,teker
cigarette,sigara
julie,Julie
fruit,meyve
blew,havaya uçmak
victor,zafer
talks,görüşmeler
sacrifice,kurban etmek
range,Aralık
button,buton
reports,raporlar
prisoner,mahkum
pie,turta
effort,çaba
youth,gençlik
pot,tencere
eaten,yenilmiş
taylor,Taylor
knees,dizler
garage,garaj
parking,otopark
ambulance,ambulans
staring,bakmak
chances,şans
circumstances,koşullar
sin,günah
gordon,Gordon
progress,ilerleme
unusual,olağan dışı
county,ilçe
stairs,merdivenler
campaign,kampanya
mon,Mon
vision,görüş
reporter,muhabir
equipment,teçhizat
moments,anlar
joey,joey
mass,kitle
alien,yabancı
trapped,hapsolmuş
helps,yardım eder
route,rota
defend,savunmak
trace,iz
nasty,edepsiz
tests,testler
magazine,dergi
rocks,kayalar
dump,çöplük
rude,kaba
searching,Aranıyor
clue,ipucu
connected,bağlı
amen,amin
pushed,zorla
merry,şen
zone,alan
senior,kıdemli
closing,kapanış
freeze,donmak
emperor,imparator
incident,olay
snake,yılan
mexico,Meksika
lily,zambak
actor,aktör
newspaper,gazete
sentence,cümle
greg,Greg
leading,önde gelen
friendly,arkadaş canlısı
jones,Jones
chosen,seçilmiş
engaged,nişanlı
julia,Julia
charming,büyüleyici
mustn,yok
anger,kızgınlık
spending,harcama
learning,öğrenme
spy,casus
sharp,keskin
shadow,gölge
warrant,garanti
elevator,asansör
kingdom,krallık
ricky,alıkoyan
jamie,Jamie
squad,Tayfa
shoulder,omuz
wave,dalga
amanda,Amanda
highness,majester
kinds,türler
fishing,Balık tutma
sometime,bazen
attitude,davranış
sucks,berbat
negative,olumsuz
screen,ekran
workers,işçi
bored,sıkılmış
cameras,kameralar
similar,benzer
understanding,anlayışlı
beeps,bip sesi
chain,zincir
bull,Boğa
gasping,gıcırdatma
fully,tamamen
robin,robin
collect,toplamak
gorgeous,muhteşem
morgan,Morgan
passion,tutku
writer,yazar
empire,imparatorluk
international,Uluslararası
curse,küfür
hire,kiralama
bastards,piç
puts,koyulur
leads,kurşunlar
id,İD
blows,darbe
sons,oğullar
estate,arazi
customers,müşteriler
maggie,Maggie
gunshot,ateşli silah
i-,i-
device,cihaz
troops,birlikler
hug,sarılmak
design,tasarım
movement,hareket
thunder,gök gürültüsü
object,nesne
loser,ezik
pen,kalem
sobbing,hıçkırık
politics,siyaset
despite,aksine
alcohol,alkol
climb,tırmanış
clients,müşteriler
conference,konferans
provide,sağlamak
marty,kantal
seek,aramak
witnesses,tanıklar
earn,para kazanmak
trash,çöp
valley,vadi
fashion,moda
howard,Howard
episode,bölüm
prize,ödül
previously,Önceden
sports,Spor Dalları
wanting,isteyen
debt,borç
wishes,dilek
hitler,Hitler
wire,tel
thee,sana
circle,daire
approach,yaklaşmak
stock,"stok, mevcut"
facts,Gerçekler
remembered,hatırladı
percent,yüzde
normally,normalde
tail,kuyruk
joined,katıldı
education,Eğitim
bravo,Bravo
library,kütüphane
rape,tecavüz etmek
wings,kanatlar
growling,hırsızlık
thrown,atılan
tank,tank
exhales,ekshales
authority,yetki
current,akım
failure,arıza
nightmare,kâbus
hitting,isabet
glory,görkem
knocked,vurulmuş
studying,ders çalışıyor
barry,barry
agency,Ajans
apple,elma
border,sınır
rope,İp
duck,ördek
reputation,itibar
confidence,kendinden emin
yard,avlu
beloved,Sevilen
lack,eksiklik
actual,gerçek
skills,Beceriler
films,filmler
mental,akıllı
salt,tuz
flesh,beden
anne,Anne
secure,güvenli
highly,büyük ölçüde
federal,federal
sand,kum
emotional,duygusal
setting,ayar
nothin,hiçbirşey
senator,senatör
services,Hizmetler
robbery,soygun
hates,nefret
fed,Besledi
reward,ödül
theater,tiyatro
johnson,Johnson
commit,işlemek
patrick,Patrick
entirely,Baştan sona
extraordinary,olağanüstü
ships,gemiler
opposite,zıt
parties,partiler
stands,STANDLAR
terry,Terry
chat,sohbet
events,Etkinlikler
mummy,mumya
bay,Defne
slip,kaymak
disappointed,hüsrana uğramış
settled,yerleşmiş
begins,başlar
andrew,Andrew
alert,uyarmak
detail,detay
pink,pembe
fellas,adam
accepted,kabul edilmiş
background,arka fon
garbage,çöp
panic,panik
minds,zihinler
belt,kemer
blowing,üfleme
hollywood,Hollywood
agreement,anlaşma
jackie,Jackie
pushing,itme
ability,kabiliyet
tiger,kaplan
whispering,fısıldayan
culture,kültür
saint,aziz
jesse,Jesse
task,görev
solid,sağlam
doll,oyuncak bebek
intend,niyet etmek
district,semt
pa,pa
gee,gee
custody,velayet
ignore,göz ardı etmek
naturally,doğal olarak
useful,kullanışlı
attempt,girişim
abandoned,terk edilmiş
cutting,kesme
kissed,öptü
guarantee,garanti
barking,havlayan
gather,toplamak
policy,politika
u.s.,biz.
violent,şiddetli
maid,hizmetçi
embarrassing,utandırıcı
childhood,çocukluk
wasting,israf
bow,yay
chick,piliç
sara,Sara
disaster,felaket
revolution,devrim
online,internet üzerinden
f,f
demon,iblis
heavily,ağır şekilde
coincidence,tesadüf
perform,rol yapmak
thin,ince
terrific,müthiş
mac,Mac
crown,taç
identity,Kimlik
virgin,bakire
impressive,etkileyici
windows,pencereler
no-one,kimse
potential,potansiyel
guitar,gitar
committee,Kurul
dozen,düzine
delivery,teslimat
advance,ilerlemek
quietly,sessizce
stan,stan
teaching,öğretim
hunter,avcı
latest,En son
hurting,acı
swing,sallanmak
capital,başkent
counting,sayma
drew,çizdi
dirt,kir
whistle,ıslık
marie,Marie
hits,vuruş
doug,Doug
deny,inkar etmek
urgent,acil
threatened,tehdit altındaki
behavior,davranış
molly,Molly
mixed,karışık
stays,kalır
assure,temin etmek
subtitles,altyazılar
explanation,açıklama
wins,kazanır
unique,benzersiz
chasing,avcılık
billion,milyar
duke,dük
production,üretme
slave,köle
agents,ajanlar
carol,carol
lets,Haydi
cruel,zalim
mask,maske
sally,Sally
behave,Davranmak
bury,gömmek
massive,cüsseli
pathetic,acınası
species,Türler
approaching,yaklaşan
jo,jo
loan,borç
struggle,mücadele etmek
dish,tabak
trusted,güvenilir
jumped,atlamalı
firing,ateşleme
channel,kanal
abby,Abby
stopping,Durduruluyor
asks,sorar
jean,jean
swimming,yüzme
daily,günlük
basement,bodrum
linda,Linda
quarter,çeyrek
erm,erm
bound,ciltli
navy,Donanma
article,makale
guide,rehberlik etmek
accused,sanık
transfer,Aktar
guts,bağırsaklar
quality,kalite
fella,fella
roman,Roma
greater,daha büyük
damned,lanet olası
couch,kanepe
cheer,tezahürat etmek
vegas,Vegas
shoe,ayakkabı
title,Başlık
shy,utangaç
punishment,ceza
los,los
clicks,tıkırtı
you,sen
closet,dolap
bye-bye,güle güle
fever,ateş
coward,Ödlek
flash,flaş
impressed,etkilenmiş
bruce,bruce
siren,siren
prisoners,mahkum
sides,taraf
bowl,tas
katie,katie
supply,tedarik
sensitive,duyarlı
hopefully,umutla
rolling,yuvarlanma
roy,Roy
dollar,dolar
tone,tonlamak
voices,sesler
g,g
i,i
cheating,hile
confess,itiraf etmek
demand,talep etmek
museum,müze
unknown,Bilinmeyen
drama,drama
suspicious,şüpheli
adult,yetişkin
todd,Todd
frightened,korkmuş
warned,uyarılmış
steady,istikrarlı
kills,öldürmek
crossed,çapraz
lou,lou
particularly,özellikle de
sandwich,sandviç
laws,yasalar
joint,eklem yeri
bullets,mermi
package,paketi
trained,eğitilmiş
thursday,Perşembe günü
boots,bot ayakkabı
possibility,olasılık
albert,Albert
civil,sivil
june,Haziran
germans,Almanlar
baseball,beyzbol
express,ifade etmek
miserable,acınası
tuesday,Salı günü
parker,parkçı
lion,aslan
joseph,Joseph
refused,reddetti
shine,parlaklık
assault,saldırı
hong,Hong
jokes,espriler
breaks,molalar
argue,tartışmak
you-,sen-
trail,iz
option,seçenek
recall,hatırlamak
mighty,kudretli
collection,Toplamak
oliver,Oliver
wilson,Wilson
accent,Aksan
believes,inanıyor
decisions,kararlar
embarrassed,utanmış
mobile,hareketli
customer,müşteri
terribly,çok
sec,sec
charity,hayır kurumu
considering,düşünen
pussy,kedi
donna,Donna
protecting,koruma
flag,bayrak
kidnapped,kaçırılmış
italy,İtalya
balance,denge
creatures,yaratıklar
nuclear,nükleer
wallet,cüzdan
shout,bağırmak
vincent,Vincent
entered,girdi
impression,izlenim
angela,Angela
jay,Jay
degrees,dereceler
favour,iyilik
reaction,reaksiyon
network,ağ
jessica,Jessica
version,versiyon
concert,konser
gear,vites
singer,şarkıcı
diamond,elmas
defeat,yenilgi
steven,Steven
lane,Şerit
blast,büyük patlama
wounded,yaralı
anytime,istediğin zaman
partners,ortaklar
ages,yaşlar
charlotte,Charlotte
ceremony,tören
league,lig
bars,Barlar
orange,Portakal
specific,özel
conditions,koşullar
plastic,plastik
crisis,kriz
fifth,beşinci
term,terim
self,kendi kendine
offering,teklif
bud,tomurcuk
suffered,acı çekti
reported,bildirilmiş
commissioner,komiser
rip,Huzur içinde yatsın
mysterious,gizemli
entrance,giriş
messed,dağınık
tunnel,tünel
designed,tasarlanmış
neighbor,komşu
aboard,gemide
sweat,ter
justin,Justin
ghosts,hayaletler
crimes,Suçlar
costs,maliyet
deserves,hak ediyor
dreaming,rüya görmek
bust,baskın yapmak
el,el
teddy,Teddy
kong,kong
messages,mesaj
enjoying,keyif
afterwards,sonradan
comfort,konfor
mason,Duvarcı
surrender,teslim olmak
gym,Jimnastik
kitty,Yavru kedi
crush,ezmek
yup,Evet
arranged,düzenlenmiş
suits,takım elbise
pee,işemek
stress,stres
cave,mağara
wing,kanat
jordan,Ürdün
arrange,düzenlemek
comrade,yoldaş
noble,soylu
tricks,hileler
betty,Betty
launch,öğle yemeği
legend,efsane
mix,karışım
golf,golf
imagination,hayal gücü
fox,tilki
kissing,öpüşmek
butter,Tereyağı
tax,vergi
gross,brüt
edward,Edward
texas,Teksas
insist,ısrar etmek
marcus,marcus
classic,klasik
selfish,bencil
skull,kafatası
frankie,Frankie
shown,gösterişli
bat,yarasa
survived,hayatta kaldı
print,Yazdır
champion,şampiyon
bills,faturalar
therapy,terapi
lifetime,ömür
throughout,boyunca
a.m.,A.M.
nathan,Nathan
toward,karşı
sauce,Sos
experiment,deney
margaret,Margaret
describe,tanımlamak
ross,Ross
grass,çimen
cheat,aldatmak
attend,katılmak
homework,ödev
lewis,Lewis
betrayed,ihanete uğramış
servant,hizmetkar
cap,kapak
tyler,Tyler
bible,Kutsal Kitap
practically,pratikte
catherine,Catherine
steel,çelik
wipe,silip süpürmek
burns,yanık
j,j
generation,nesil
cabin,kabin
financial,parasal
industry,sanayi
bond,bağlamak
sheep,koyun
scientists,Bilim insanları
beaten,dövülmüş
heck,kahrolası
deck,güverte
fans,hayranlar
script,senaryo
brand,marka
degree,derece
painful,acı verici
coughing,öksürme
religion,din
cats,kediler
stephen,Stephen
influence,etki
fuel,yakıt
drawing,çizim
uh-oh,uh-oh
rabbit,tavşan
exercise,egzersiz yapmak
attractive,çekici
touching,dokunaklı
virus,virüs
realise,fark etmek
torture,işkence
blessed,mübarek
plain,sade
rebecca,Rebecca
recent,son
barbara,barbara
footsteps,ayak izleri
sacred,kutsal
removed,kaldırıldı
pretending,taklit
wasted,heba olmuş
jewish,Yahudi
goodnight,iyi geceler
robot,robot
crystal,kristal
confirm,onaylamak
lad,delikanlı
mile,mil
division,bölünme
scratch,kaşımak
reminds,hatırlatıyor
walks,yürüyüşleri
ending,bitirme
russia,Rusya
contest,yarışma
valuable,değerli
distant,mesafe
dumped,terkedilmiş
motion,hareket
electricity,elektrik
centre,merkez
murders,cinayet
tina,Tina
jeremy,Jeremy
seal,mühür
standard,standart
ellen,Ellen
wore,yıpranmış
surrounded,çevrili
struck,vurmak
inform,bilgi vermek
gentle,nazik
status,durum
purse,el çantası
prints,baskılar
players,oyuncu
charged,yüklü
begging,dilenme
delivered,teslim edilmiş
kenny,Kenny
buck,boks yapmak
nina,Nina
construction,inşaat
confirmed,onaylanmış
confession,itiraf
trigger,tetiklemek
cells,hücre
frankly,açıkçası
ali,Ali
exit,çıkış
response,tepki
cancel,iptal etmek
argument,argüman
principal,müdür
turkey,hindi
lucas,Lucas
clinic,klinik
greetings,selamlar
neighbors,komşular
vice,mengene
toy,oyuncak
hannah,Hannah
everyday,Her gün
generous,cömert
gain,kazanç
idiots,salak
holly,çobanpüskülü
enjoyed,keyifli
jungle,orman
link,bağlantı
underground,yeraltı
smiling,gülümseyen
mistress,metre
teams,takımlar
product,ürün
beef,sığır eti
whispers,fısıltılar
religious,din
presents,hediyeler
identify,tanımlamak
chip,yonga
chffffff,chffffff
surveillance,gözetim
carlos,carlos
vampire,vampir
routine,rutin
uses,kullanma
michelle,Michelle
underneath,altında
systems,sistemler
temperature,hava sıcaklığı
waves,dalgalar
tribe,kabile
brad,brad
deputy,milletvekili
sophie,Sophie
headquarters,Merkez
equal,eşit
phones,telefon
ken,Ken
reckon,Hesaba katmak
related,ilişkili
incredibly,inanılmaz şekilde
chill,soğuk
spit,tükürmek
tracks,pistler
oscar,Oscar
makeup,makyaj yapmak
bug,böcek
sounded,sesli
spirits,ruhlar
nerve,sinir
divorced,boşanmış
stake,kazıklamak
port,Liman
doorbell,kapı zili
worries,endişe
nephew,yeğen
miller,değirmenci
units,birimler
just-,sadece-
proceed,ilerlemek
landing,iniş
traitor,hain
outfit,kıyafet
chloe,chloe
bail,kefalet
fields,tarlalar
patience,sabır
recording,kayıt
foolish,aptalca
loaded,yüklendi
tokyo,Tokyo
davis,Davis
costume,kostüm
wayne,Wayne
injured,yaralı
somethin,bir şey
ian,Ian
pet,Evcil Hayvan
cage,kafes
digging,kazma
spain,ispanya
seats,Koltuklar
awkward,garip
cleaned,temizlenmiş
pattern,Desen
filthy,pis
visiting,ziyaret
jews,Yahudiler
answering,cevap verme
concentrate,yoğunlaşmak
someplace,bir yerde
citizens,Vatandaşlar
aim,nişan almak
nancy,Nancy
affairs,iş
thick,kalın
sport,spor
basic,temel
electric,elektrik
pleasant,güzel
cliff,uçurum
nail,çivi
russell,Russell
environment,çevre
western,batılı
average,ortalama
ease,kolaylaştırmak
raped,tecavüze uğramış
interrupt,kesmek
judy,Judy
satisfied,memnun
beep,bip sesi
starving,açlıktan ölme
documents,belgeler
anniversary,yıl dönümü
beth,Beth
election,seçim
warrior,savaşçı
r,r
forth,ileri
fetch,gidip getirmek
banks,bankalar
placed,yerleştirilmiş
timing,zamanlama
stones,taşlar
complex,karmaşık
frozen,dondurulmuş
replace,yer değiştirmek
prayer,namaz
skip,atlamak
angeles,Angeles
guilt,suç
tune,ayarlamak
woo,woo
actions,hareketler
conscience,vicdan
officially,resmi olarak
martha,Martha
machines,makineler
smaller,daha küçük
determined,belirlenen
blown,şişmiş
hail,selamlamak
unhappy,mutsuz
booth,çardak
pour,dökün
berlin,Berlin
cleared,temizlenmiş
packed,paketlenmiş
wrap,paketlemek
randy,alçakgönüllü
behalf,adına
reasonable,mantıklı
trunk,gövde
homes,evler
festival,Festival
tradition,gelenek
cigarettes,sigara
le,LE
beside,yanında
harvey,Harvey
motive,güdü
beings,varlıklar
bishop,piskopos
dealer,satıcı
defendant,sanık
backup,destek olmak
wounds,yaralar
ouch,ouch
ann,asil
nearby,yakında
drank,içmek
effects,Etkileri
jonathan,Jonathan
dennis,Dennis
benefit,fayda
adventure,macera
p,p
territory,bölge
ve,Vezik
apology,özür
dylan,Dylan
unlike,farklı
owns,sahibi
boxes,kutular
thus,böylece
clay,kil
developed,gelişmiş
busted,paçayı ele vermek
pipe,boru
gray,gri
no.,hayır.
goods,mal
favourite,favori
salad,salata
loyal,sadık
atmosphere,atmosfer
eva,eva
freaking,korkutucu
dropping,düşme
strangers,yabancı insanlar
mouse,fare
downtown,şehir merkezi
francisco,Francisco
heroes,kahramanlar
pit,çukur
rotten,çürük
paradise,cennet
meantime,Bu arada
jess,jess
organization,organizasyon
hills,tepeler
exam,sınav
cock,horoz
fairy,peri
earl,Kont
comment,Yorum
activity,aktivite
frame,çerçeve
knight,şövalye
testing,test yapmak
habit,alışkanlık
shelter,barınak
flow,akış
jennifer,Jennifer
holes,delik
prevent,önlemek
anthony,Anthony
lend,borç vermek
cooper,Cooper
figures,figürler
boston,Boston
sample,örneklem
strip,şerit
landed,inişli
buzzing,uğultu
monk,keşiş
slightly,biraz
produce,üretmek
annoying,sinir bozucu
judgment,yargılama
laundry,çamaşır
ron,Ron
lousy,berbat
souls,Ruhlar
existence,varoluş
belly,karın
tries,dener
foster,gayretlendirmek
returning,geri dönen
answered,cevaplanmış
ward,koğuş
plants,bitkiler
actress,aktris
chairman,başkan
individual,bireysel
hopes,ümit
tattoo,dövme
fence,çit
sink,lavabo
punk,punk
confident,kendinden emin
yay,Yaşasın
mistaken,yanlış
limit,sınırlamak
bothering,rahatsız
st,ST
uncomfortable,rahatsız
wednesday,Çarşamba günü
gifts,Hediyeler
policeman,polis
na,na
precisely,açık olarak
lawyers,avukat
greek,Yunan
merely,sadece
criminals,suçlular
underwear,iç çamaşırı
hoped,umut etti
earned,kazanılmış
reveal,ortaya çıkartmak
appeared,göründü
derek,Derek
heavens,cennet
personality,kişilik
batman,yarasa Adam
virginia,Virginia
wives,eşler
colour,renk
worker,çalışan
pope,Papa
instructions,Talimatlar
intelligent,zeki
worrying,endişe verici
vince,Vince
comin,anmak
cried,ağladı
traveling,seyahat
bells,çan
x,x
impact,darbe
robbed,soyulmuş
relief,rahatlama
host,ev sahibi
footage,kamera görüntüsü
odds,ihtimal
patrol,devriye gezmek
circus,sirk
mud,çamur
captured,yakalanmış
lessons,dersler
occasion,durum
sets,setler
pulse,nabız
ad,reklam
invented,icat edilmiş
diamonds,elmas
matthew,Matta
auntie,teyze
cloud,bulut
